RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
71,15671211,Davis,528,Germany,Male,54,5,61109.33,4,1,0,47592.04,0
72,15665697,Miller,573,France,Male,72,10,146599.6,1,0,0,195926.1,0
73,15637065,Miller,619,France,Female,19,10,174106.21,4,1,1,29654.65,0
74,15692093,Martinez,839,France,Female,36,5,72021.58,3,1,0,79076.46,0
75,15699299,Rodriguez,662,Germany,Male,49,7,99577.0,2,0,0,100995.73,1
76,15632606,Jones,698,France,Male,86,4,236762.57,3,1,1,51513.9,0
77,15611534,Garcia,483,Spain,Female,72,1,101989.38,3,1,1,105634.89,1
78,15694663,Smith,463,Germany,Male,73,6,78845.12,1,1,1,33650.43,0
79,15640397,Garcia,790,Spain,Male,46,0,26803.13,1,0,1,10311.79,1
80,15691387,Johnson,481,Germany,Female,53,4,85335.34,3,1,1,142658.46,0
81,15601016,Garcia,488,Spain,Male,88,4,153035.76,2,1,0,168564.18,1
82,15689789,Rodriguez,714,Germany,Male,70,2,36933.02,4,1,1,119191.87,0
83,15655591,Davis,581,Spain,Female,56,1,151321.62,4,0,1,53415.3,1
84,15689812,Rodriguez,807,France,Male,28,10,185298.89,2,0,0,84966.93,0
85,15623247,Martinez,724,France,Female,47,3,192060.99,1,0,0,128996.12,1
86,15624300,Davis,441,Germany,Male,89,6,246202.14,3,1,0,16184.52,0
87,15674065,Williams,616,Spain,Male,70,9,108640.41,3,1,0,27902.67,0
88,15682798,Davis,448,France,Female,91,2,8108.16,3,0,1,192057.21,0
89,15609268,Garcia,556,France,Male,25,5,213672.46,4,1,1,138921.16,0
90,15686807,Garcia,357,Germany,Male,37,6,20878.57,2,0,0,142429.52,1
91,15612185,Garcia,817,Germany,Female,29,1,215414.3,2,0,1,29475.64,0
92,15663704,Williams,719,France,Female,84,2,245675.11,3,0,1,54260.3,0
93,15686779,Martinez,792,Germany,Male,67,8,226705.75,3,0,0,84317.9,1
94,15639099,Smith,754,Spain,Male,29,0,241002.62,2,1,1,48994.58,0
95,15608571,Brown,670,Spain,Male,71,7,5833.98,4,0,0,163797.44,0
96,15638044,Martinez,442,France,Female,71,0,2842.46,1,1,0,125224.43,0
97,15651214,Garcia,757,France,Male,91,2,52574.44,3,1,0,47397.88,0
98,15661228,Martinez,507,France,Male,36,5,199678.07,2,0,0,156472.47,0
99,15648984,Johnson,709,France,Female,31,10,22353.66,4,1,1,112736.82,0
100,15640774,Miller,448,France,Female,69,7,186629.56,1,1,1,49491.77,0
101,15602568,Miller,574,Spain,Female,39,6,3140.01,2,1,1,170142.17,0
102,15662592,Brown,689,France,Female,21,2,182774.83,3,1,1,49893.22,0
103,15667563,Brown,790,Spain,Male,76,5,62517.31,2,1,0,141219.32,0
104,15602695,Smith,557,Spain,Male,51,0,110109.71,4,0,1,85982.8,0
105,15648190,Johnson,422,France,Male,81,7,244126.35,3,1,0,152397.57,1
106,15605258,Rodriguez,828,Spain,Female,35,8,137933.78,2,0,1,90457.65,0
107,15687538,Martinez,750,Germany,Male,48,8,18655.92,2,1,0,64457.28,0
108,15639504,Davis,408,Germany,Male,59,3,218282.92,3,1,1,192591.03,0
109,15633159,Davis,636,France,Male,91,3,80916.83,3,0,1,154157.24,0
110,15613986,Rodriguez,413,Germany,Female,20,6,146338.34,4,1,0,167253.21,0
111,15661858,Miller,605,France,Male,72,6,177943.0,3,0,0,69448.86,0
112,15612666,Rodriguez,397,Germany,Male,27,10,194378.3,4,1,1,76110.58,0
113,15638660,Martinez,628,France,Female,88,5,108123.84,2,0,0,42833.0,0
114,15603561,Johnson,547,Germany,Male,39,6,193271.9,3,1,0,94881.56,0
115,15626854,Garcia,507,France,Female,40,0,29223.57,4,0,0,199423.31,0
116,15664505,Williams,660,France,Female,30,8,131417.21,2,0,0,122002.52,1
117,15652251,Garcia,356,Germany,Male,57,5,5471.37,1,0,1,147607.47,0
118,15622662,Williams,597,Germany,Female,30,7,101567.77,2,0,1,150123.65,0
119,15608392,Davis,717,France,Female,68,4,91191.58,3,0,0,48531.18,0
120,15630535,Brown,581,France,Female,81,6,244533.15,4,0,1,20645.23,0
121,15678603,Martinez,455,Spain,Male,30,2,99462.15,1,1,0,33102.89,0
122,15652256,Garcia,843,Germany,Female,46,9,226773.04,4,1,1,146741.34,0
123,15689135,Rodriguez,808,France,Male,88,0,108824.95,4,0,0,96600.51,0
124,15635222,Johnson,447,Germany,Male,64,6,133346.95,1,0,1,181889.13,0
125,15677373,Johnson,617,France,Female,43,4,87679.03,1,1,0,79635.46,0
126,15679575,Miller,409,France,Female,87,0,160003.89,4,1,0,29507.64,0
127,15696354,Johnson,849,Germany,Male,40,8,184780.08,3,1,0,194008.99,1
128,15684651,Johnson,657,Spain,Female,73,8,197765.01,1,0,0,86134.14,0
129,15663335,Brown,842,Germany,Male,36,5,173484.89,3,0,1,171158.1,0
130,15610965,Rodriguez,844,France,Male,67,10,82486.89,1,0,0,18749.03,1
131,15624538,Davis,760,Spain,Female,52,8,82648.97,4,1,0,78275.84,0
132,15670592,Johnson,489,France,Female,66,6,86976.96,1,0,0,122933.59,0
133,15698018,Davis,746,Spain,Female,63,7,9457.85,4,0,0,109577.85,0
134,15608110,Brown,677,France,Female,87,10,235762.99,1,0,1,148262.39,0
135,15679309,Johnson,813,France,Female,70,1,48931.31,1,1,1,177778.21,0
136,15627266,Martinez,539,Germany,Female,48,1,39802.18,1,1,1,154134.02,0
137,15652992,Miller,474,France,Female,39,3,138088.62,2,1,1,68921.94,0
138,15682948,Garcia,762,Spain,Female,84,0,11853.88,1,0,1,194174.32,0
139,15698806,Martinez,512,Germany,Female,25,7,209460.83,2,1,1,184623.06,0
140,15606910,Jones,409,France,Female,36,4,219050.14,3,1,0,129706.9,0
141,15690982,Smith,762,Germany,Male,48,6,99452.46,3,0,1,106895.82,1
142,15600206,Johnson,380,France,Female,49,1,242854.67,1,1,1,108119.83,0
143,15687054,Davis,682,France,Female,72,4,81064.32,3,0,1,149687.83,0
144,15687897,Smith,425,Spain,Female,48,8,65059.03,1,0,1,101850.68,0
145,15623419,Williams,592,Spain,Male,84,8,247422.3,2,0,0,197427.82,0
146,15650636,Johnson,666,France,Female,68,1,62576.29,3,0,0,144994.43,1
147,15650015,Jones,607,Germany,Female,91,10,111063.11,4,1,1,55252.79,0
148,15654268,Brown,766,France,Female,44,1,152967.0,1,0,0,135110.82,0
149,15687939,Miller,805,Spain,Female,65,4,80632.53,1,1,0,102042.83,1
150,15618141,Jones,539,Spain,Female,60,2,96054.23,3,1,0,40372.49,0
151,15680356,Davis,838,France,Male,68,0,180189.75,3,1,0,108578.93,0
152,15671910,Brown,726,Spain,Female,86,10,180756.28,3,0,1,173206.89,0
153,15656044,Garcia,664,France,Female,88,0,200904.62,1,0,0,14679.99,0
154,15667214,Brown,645,France,Male,89,4,148425.44,4,0,1,171736.21,0
155,15633827,Johnson,526,Spain,Male,67,2,58380.96,1,1,1,140180.18,0
156,15655820,Smith,838,Germany,Male,78,8,83277.34,1,0,0,147875.78,0
157,15662623,Smith,637,France,Female,58,2,225176.68,2,0,0,179599.93,0
158,15681734,Davis,643,Germany,Female,68,2,183432.1,1,0,1,189306.56,0
159,15675450,Brown,697,France,Male,41,2,22007.09,1,1,1,66076.61,0
160,15693426,Jones,556,France,Female,47,0,188404.12,1,0,1,184634.21,1
161,15622299,Davis,564,Spain,Female,69,2,82664.41,4,1,1,51142.67,0
162,15643585,Miller,693,Germany,Female,67,4,5806.75,3,0,0,37431.28,0
163,15664044,Davis,490,Spain,Female,74,7,120932.96,1,0,1,115420.01,0
164,15642557,Davis,434,France,Female,79,6,220849.05,2,1,1,186254.76,0
165,15649080,Garcia,531,Germany,Male,70,10,111087.35,2,1,0,20333.66,0
166,15602693,Martinez,681,Spain,Male,85,3,247200.05,3,0,0,110324.57,0
167,15695003,Johnson,477,France,Male,86,3,44519.12,2,1,1,138916.55,0
168,15695259,Garcia,618,France,Female,48,3,87724.35,2,1,0,151630.45,0
169,15669163,Smith,388,Germany,Male,47,7,4154.7,4,0,1,105744.57,0
170,15625939,Smith,372,France,Female,27,7,12588.48,1,1,0,119232.05,1
171,15648925,Williams,591,France,Male,61,1,88579.23,1,1,1,96199.31,0
172,15642941,Williams,715,Spain,Male,23,6,132097.04,1,1,1,147419.43,0
173,15621834,Jones,456,Spain,Male,44,10,59273.53,1,0,1,82056.05,0
174,15618047,Smith,697,Germany,Male,37,4,41615.09,1,0,1,63274.32,0
175,15626105,Martinez,491,Spain,Female,37,1,105168.38,2,0,0,59925.72,0
176,15675766,Garcia,494,Spain,Male,29,2,42668.9,4,0,0,134143.24,1
177,15615707,Miller,629,Germany,Male,66,10,157724.16,1,0,1,185671.7,1
178,15621976,Martinez,594,France,Male,69,6,238822.26,2,0,0,61992.4,0
179,15644262,Williams,791,France,Female,27,5,201635.85,3,0,1,57468.37,0
180,15623776,Brown,540,France,Male,22,5,53803.45,2,0,0,145975.79,0
181,15630080,Martinez,639,France,Male,81,6,237783.83,4,0,1,11736.67,0
182,15666842,Martinez,528,France,Male,75,5,187781.93,1,0,1,168502.86,0
183,15661373,Martinez,461,France,Male,25,10,38743.01,1,1,0,82063.59,0
184,15606776,Martinez,563,France,Male,47,1,144857.67,1,1,1,181319.03,0
185,15692787,Martinez,487,France,Female,34,7,241619.66,4,0,0,144626.54,0
186,15655016,Williams,723,Germany,Male,84,6,24189.53,3,1,1,160619.06,0
187,15609474,Smith,549,France,Female,38,5,67751.24,3,0,0,42527.97,0
188,15658053,Davis,754,Spain,Female,33,4,93522.94,2,1,0,79194.42,0
189,15621959,Martinez,770,France,Male,44,10,28898.57,2,0,1,63308.42,0
190,15605530,Martinez,356,Spain,Male,23,5,74811.5,1,0,1,145869.42,0
191,15694856,Johnson,695,Spain,Female,59,2,173081.3,1,1,1,14321.31,1
192,15603748,Smith,362,Germany,Male,33,1,119309.7,1,1,1,127653.24,1
193,15697504,Davis,429,Germany,Male,62,8,105268.53,2,1,0,174939.71,0
194,15698098,Miller,635,Spain,Female,20,0,107984.81,1,0,1,18305.88,0
195,15613545,Miller,508,France,Male,57,1,189913.06,2,0,0,65231.89,0
196,15666199,Brown,738,Spain,Female,37,10,247820.23,2,1,0,49510.28,0
197,15634766,Rodriguez,765,Spain,Female,24,9,147161.48,4,0,0,199638.25,0
198,15673530,Garcia,621,Germany,Male,76,9,187887.55,1,1,1,197268.62,0
199,15693557,Johnson,844,France,Male,28,0,93139.97,1,0,0,33621.15,0
200,15661087,Smith,550,Germany,Female,69,7,215160.02,2,1,0,47006.35,0
201,15695839,Smith,499,Germany,Female,20,3,105081.46,2,0,1,14362.95,0
202,15668840,Rodriguez,797,Germany,Male,38,5,233780.76,2,0,0,117583.72,0
203,15654384,Brown,777,Germany,Female,70,10,185876.16,4,0,0,140310.25,0
204,15651005,Jones,645,France,Female,47,4,176860.8,4,1,1,134356.53,0
205,15646576,Williams,842,France,Male,28,7,72533.74,2,1,1,59398.88,0
206,15639353,Brown,642,France,Male,42,9,199034.28,4,1,0,48626.78,0
207,15662003,Davis,683,France,Female,67,6,26320.3,4,1,0,20590.67,0
208,15683211,Brown,621,France,Male,26,0,134506.06,3,0,1,130205.62,0
209,15652733,Rodriguez,392,France,Female,62,7,183844.32,1,1,0,56645.06,0
210,15665318,Rodriguez,817,France,Female,46,3,220898.0,2,1,1,26856.28,1
211,15689474,Garcia,668,France,Male,79,6,142413.42,3,0,0,77357.35,0
212,15623664,Johnson,841,France,Female,32,2,64580.74,3,0,1,38209.04,0
213,15667172,Martinez,364,Spain,Female,36,1,212215.36,4,1,1,106186.23,0
214,15685616,Miller,597,Spain,Female,32,0,191995.13,2,1,0,38332.49,0
215,15693264,Rodriguez,521,Germany,Male,56,9,38391.19,4,1,1,197831.03,1
216,15626736,Garcia,567,France,Male,52,4,218096.89,3,0,1,73757.56,0
217,15694209,Williams,486,Germany,Female,30,10,239969.31,3,0,0,100229.75,0
218,15600854,Miller,670,Germany,Female,33,2,134433.56,3,1,0,123361.14,1
219,15690084,Jones,576,Spain,Female,84,10,9591.24,1,1,1,171619.9,0
220,15638623,Smith,393,Germany,Male,72,2,228903.58,2,1,1,190113.34,0
221,15607392,Williams,369,Germany,Female,82,7,30691.46,1,1,0,79722.98,0
222,15655680,Jones,842,Spain,Male,52,0,158280.44,3,0,1,90471.97,1
223,15646717,Miller,468,France,Female,33,1,100226.81,3,0,1,38682.82,0
224,15687092,Williams,803,France,Female,18,0,248008.41,3,1,1,46033.27,1
225,15650859,Garcia,583,Germany,Male,67,6,229291.17,1,1,1,147221.37,0
226,15626309,Jones,807,France,Male,31,3,196125.95,4,0,1,92702.68,1
227,15687455,Smith,717,France,Male,79,2,49819.27,2,0,1,170030.94,0
228,15663734,Martinez,728,Germany,Female,24,2,174798.25,4,1,0,110537.71,0
229,15670467,Garcia,766,France,Female,40,9,143036.45,4,0,0,63713.41,0
230,15652662,Davis,685,Germany,Male,80,10,33836.69,3,0,0,139068.58,1
231,15698506,Smith,705,Spain,Male,46,2,198670.28,1,0,1,99825.22,0
232,15612688,Johnson,611,France,Female,39,1,21614.08,4,0,0,179142.38,1
233,15625342,Brown,432,France,Female,23,4,120402.42,1,1,0,80650.49,1
234,15637157,Johnson,380,France,Male,46,0,106640.86,1,0,1,58389.33,0
235,15667863,Rodriguez,671,France,Female,19,4,201549.35,1,1,0,93493.39,1
236,15652083,Martinez,623,France,Male,81,9,106891.85,2,0,0,171320.15,0
237,15665733,Davis,583,France,Female,53,7,173577.72,4,0,0,166637.32,1
238,15689045,Davis,377,France,Male,37,6,119565.18,3,1,0,179759.9,0
239,15634698,Brown,601,France,Female,72,10,145505.2,3,0,1,171432.07,0
240,15680623,Jones,673,Germany,Female,54,2,60260.25,2,1,1,72726.01,1
241,15622671,Brown,602,Spain,Female,69,8,50613.32,4,1,1,122524.25,0
242,15625184,Rodriguez,798,Spain,Male,86,10,177478.32,3,0,0,160993.39,0
243,15693384,Johnson,588,Germany,Male,87,9,30582.59,1,1,0,169431.19,0
244,15642107,Davis,839,France,Male,39,6,43996.0,3,1,1,86333.73,0
245,15686202,Johnson,719,Germany,Female,32,0,235236.6,4,0,0,107582.52,0
246,15651663,Smith,813,France,Female,64,5,63332.26,1,1,1,65227.02,0
247,15615708,Martinez,778,France,Male,88,3,80823.94,2,0,1,142588.34,0
248,15691906,Williams,663,Spain,Female,86,5,158298.58,3,1,1,137653.5,1
249,15649811,Rodriguez,524,France,Male,69,2,110088.57,3,1,0,122174.23,0
250,15602811,Williams,543,France,Female,56,4,139750.11,2,0,1,129189.63,0
251,15656250,Rodriguez,529,Spain,Female,19,2,36148.15,4,1,1,180744.07,0
252,15672082,Miller,769,Spain,Female,62,6,168101.92,1,0,0,165809.85,0
253,15634754,Martinez,734,France,Male,41,4,39145.84,3,0,1,33715.66,0
254,15695742,Smith,644,France,Male,78,3,186931.38,4,1,1,132120.65,0
255,15611411,Martinez,564,Germany,Male,82,9,130904.32,1,1,0,40702.62,0
256,15602911,Jones,823,Germany,Female,70,6,204048.25,3,0,1,38195.3,0
257,15667270,Rodriguez,552,France,Female,38,6,43170.77,4,0,1,95353.69,0
258,15683763,Williams,599,Germany,Female,84,9,94384.97,4,1,1,102253.88,0
259,15608680,Rodriguez,711,Spain,Female,18,8,211708.0,2,1,1,29780.32,0
260,15684896,Jones,606,France,Male,76,2,199678.08,3,0,1,107244.14,0
261,15683879,Rodriguez,424,Spain,Male,64,10,241438.49,1,1,0,43534.46,0
262,15671295,Martinez,693,Spain,Female,35,10,55490.11,3,0,1,114622.33,0
263,15688614,Garcia,551,France,Male,50,9,134757.01,2,1,0,168100.17,0
264,15611111,Rodriguez,491,Spain,Female,32,7,4471.19,1,0,1,26330.42,0
265,15637504,Miller,555,France,Female,41,6,241308.64,4,1,0,85857.93,0
266,15601802,Miller,548,Germany,Male,53,8,43781.79,2,1,1,54404.44,0
267,15608155,Davis,756,Spain,Male,77,1,226176.9,1,1,0,119183.79,0
268,15673656,Miller,520,France,Male,51,5,169583.29,1,0,0,179768.61,0
269,15639384,Rodriguez,755,Germany,Female,68,4,234212.12,3,1,1,47481.75,0
270,15647254,Rodriguez,665,Spain,Female,57,2,62057.29,4,0,0,138497.89,0
271,15621918,Garcia,577,France,Female,39,6,86291.07,2,0,1,27687.84,0
272,15685981,Miller,760,France,Male,33,4,41100.44,4,1,0,113701.35,0
273,15660713,Johnson,789,France,Male,59,5,105608.4,2,1,0,138454.22,0
274,15630306,Rodriguez,735,Germany,Male,33,3,236874.87,3,1,0,137470.01,0
275,15616646,Smith,772,Spain,Male,22,6,142790.79,1,1,1,150266.55,0
276,15646843,Smith,528,Spain,Male,23,6,104031.57,3,1,0,89301.02,0
277,15696601,Williams,715,France,Male,59,4,81216.58,2,0,1,154404.96,0
278,15690735,Garcia,624,Germany,Male,47,6,146190.45,4,1,1,99849.95,0
279,15616371,Jones,411,France,Female,49,6,180804.35,1,0,0,71354.59,0
280,15677371,Johnson,676,France,Male,70,9,101697.12,2,1,0,71171.48,0
281,15602049,Rodriguez,553,France,Male,36,7,57724.72,1,0,0,43377.52,0
282,15631616,Martinez,800,France,Female,68,10,146251.07,1,1,0,146909.53,0
283,15620932,Brown,796,Germany,Female,45,0,91390.66,3,0,1,39949.19,0
284,15629855,Brown,716,Spain,Male,64,3,248581.11,2,1,1,130880.43,0
285,15661434,Jones,482,Germany,Female,89,10,110261.16,4,1,1,136418.65,1
286,15672694,Davis,421,Germany,Male,18,0,108622.21,3,1,0,64460.63,0
287,15643016,Martinez,427,France,Male,85,2,209866.75,3,1,0,102839.57,0
288,15607400,Brown,538,Spain,Male,74,7,62754.75,3,0,1,137475.33,0
289,15642642,Jones,705,Spain,Female,39,6,16496.76,2,1,0,10033.28,0
290,15615151,Brown,420,Spain,Female,75,2,213454.7,2,1,1,62200.58,0
291,15651407,Garcia,612,France,Male,30,3,147260.09,1,1,0,82131.2,0
292,15666690,Williams,655,Germany,Female,56,1,65039.19,1,1,1,186862.08,0
293,15604499,Davis,395,Germany,Male,44,1,85689.64,1,0,0,98204.99,1
294,15606295,Garcia,573,France,Male,56,4,106412.6,1,0,0,106326.78,0
295,15659040,Martinez,677,Germany,Female,89,1,170097.76,3,1,1,136183.39,0
296,15612183,Jones,599,Spain,Female,29,10,117045.52,4,0,0,95782.72,0
297,15629299,Johnson,425,France,Female,41,6,98954.89,1,1,0,92153.07,0
298,15612874,Martinez,423,France,Male,35,0,195116.63,2,1,0,195131.93,0
299,15632711,Martinez,491,Germany,Female,32,8,17962.13,1,0,1,164340.98,0
300,15605539,Miller,422,France,Female,77,9,163134.22,2,1,1,143334.85,0
301,15653351,Johnson,451,Germany,Female,33,0,112230.83,4,1,0,101302.16,0
302,15661267,Smith,443,Germany,Male,91,10,83713.38,3,0,0,75798.92,0
303,15648354,Miller,418,France,Male,64,0,231893.92,4,0,0,122461.35,0
304,15602557,Jones,414,Spain,Male,41,8,194482.34,4,1,0,94780.21,0
305,15638360,Smith,542,Germany,Male,62,6,54814.69,3,1,0,98652.05,1
306,15682018,Brown,790,Spain,Male,36,9,163084.11,2,1,0,52104.54,0
307,15602200,Brown,411,Spain,Female,58,3,205571.62,4,1,1,160342.09,0
308,15668497,Martinez,369,Spain,Female,48,2,247334.89,3,1,1,160304.56,0
309,15646975,Miller,590,France,Male,33,4,174606.25,2,1,0,67175.35,1
310,15621357,Rodriguez,552,France,Female,40,1,172672.74,2,1,0,64933.04,0
311,15677505,Johnson,759,France,Male,40,5,153323.0,2,1,1,62829.62,1
312,15602869,Smith,649,France,Male,58,5,10000.65,3,0,1,40903.06,0
313,15661135,Johnson,544,Spain,Male,35,0,146264.12,1,0,1,173062.08,0
314,15650108,Miller,803,France,Male,53,9,201261.91,3,1,1,60460.58,1
315,15694179,Martinez,411,Spain,Male,29,8,98854.61,4,1,1,142744.58,0
316,15690272,Garcia,456,France,Male,86,0,146744.81,3,1,0,28935.65,0
317,15638467,Brown,474,France,Female,68,5,231622.05,3,1,0,149722.53,0
318,15623328,Smith,650,Spain,Female,49,6,43008.53,4,1,0,37988.18,0
319,15691412,Smith,616,France,Female,88,7,70118.94,3,0,1,40173.55,0
320,15686831,Jones,805,Spain,Female,53,1,27579.38,3,0,1,167990.99,1
321,15603987,Smith,826,France,Female,57,10,125061.15,4,0,1,65274.67,0
322,15658871,Miller,551,Spain,Female,87,7,209912.35,1,1,0,42753.38,0
323,15622399,Smith,511,Germany,Male,55,10,108804.25,1,0,1,112009.62,0
324,15646214,Smith,693,Spain,Male,71,9,17459.96,2,1,0,24223.15,1
325,15699522,Johnson,651,France,Male,21,1,65884.43,1,1,0,144980.26,0
326,15686416,Martinez,461,France,Male,63,1,222426.63,3,0,0,169855.54,0
327,15670271,Williams,686,Spain,Female,80,8,139381.03,4,0,0,57196.47,0
328,15644064,Smith,381,Spain,Male,91,6,228517.81,2,1,1,142619.75,0
329,15670091,Rodriguez,808,France,Female,67,7,208609.52,3,0,0,20220.51,0
330,15640818,Martinez,447,France,Female,47,0,103572.9,2,1,1,100824.38,0
331,15645525,Davis,821,France,Female,90,9,158386.0,4,0,0,190870.13,0
332,15619830,Jones,596,France,Female,33,5,166106.28,3,0,1,112231.81,1
333,15617429,Johnson,610,Germany,Female,69,0,186699.36,2,1,0,88048.64,0
334,15606893,Jones,540,France,Female,21,4,83241.63,2,1,0,11113.69,1
335,15679909,Garcia,378,France,Male,43,1,72247.36,1,0,0,58625.68,0
336,15647333,Smith,397,Germany,Male,46,8,171147.19,2,1,0,91411.99,0
337,15603436,Brown,845,France,Male,28,2,204688.56,1,0,0,81711.02,0
338,15674290,Rodriguez,599,Germany,Male,41,9,103561.7,1,0,0,93401.99,0
339,15676213,Johnson,575,Spain,Male,68,6,80267.14,4,0,0,14493.25,0
340,15605895,Jones,621,France,Male,59,1,206384.16,1,0,0,110936.07,0
